year	Primary_Occupations	Main_income	Main_Ocupation	Member_ALCS	Member_ALCS_year	Member_Society	Member_Society_year	Member_WGGB	Member_WGGB_year	Member_NUJ	Member_NUJ_year	Member_ALLi	Member_ALLi_year	Member_Other	Member_Other_year	Starting_Year	Importance_Books	Importance_Newspapers	Importance_Magazines	Importance_Theatre	Importance_Audio	Importance_Digital	Importance_Other	Importance_Other_Name	Books_Fiction	Books_Travel	Books_Nonfiction	Books_Academic	Books_Professional	Books_Children	Books_NonfictionChildren	Books_Educational	Books_Games	Audio_Film	Audio_FilmDocu	Audio_TVDrama	Audio_TVDocu	Audio_Children	Audio_TVComedy	Audio_TVSoap	Audio_RadioFiction	Audio_RadioNonFiction	Audiovisuals	Broadcasting	Downloading	Online	Rental	hh_income_2021	indiv_income_2021	writing_income_2021	Earn_Publishers	Earn_SelfPublication	Earn_PublicLending	Earn_ALCS	Earn_Awards	Earn_Grants	Earn_Fellowship	Earn_Teaching	Earn_Lectures	Earn_Crowfunding	Earn_Journalist	Earn_ComResearch	Earn_Copywriter	Earn_BookEdit	Earn_Academic	Earn_Translation	Earn_Others	hh_income_2020	indiv_income_2020	writing_income_2020	Covid_Impact_Earnings	Covid_Impact_Earnings_Info	Covid_Impact_Profession	Covid_Impact_Profession_Info	agent	legal_advise	legal_advise_whom	Copyright_confidence	cowriter	Copyright_concerns	Copyright_understand	Changed_contract	Change_contract_attempt	Changed_contract_Negotiations	Negotiation_fee	Negotiation_royalty	Negotiation_licence	Negotiation_attribution	Negotiation_integrity	Negotiation_warranties	Negotiation_reversion	Negotiation_other	self_publishing	self_publishing_types	self_publishing_comments	self_publishing_paid	buyout	buyout_percentage	buyout_percentage_change	reverse_clause	reverse_clause_use	reverse_clause_furtherearnings	advance	advance_change	royalty_paid	royalty_rate_hardback	royalty_rate_paperback	royalty_rate_ebooks	royalty_ebook	royalty_ebook_change	moral_rights	moral_rights_percent	moral_rights_dispute	moral_rights_dispute_grounds	MR_dispute_grounds_addition	Contractual_changes	Contract_clauses	Negotiation_perception	gender	age_group	ethnicity	housesize	edu	Training	country	PostCode	international	Issues_Survey	previous_surveys	Prize_draw	hh_income_2018	indiv_income_2018	writing_income_2018
2022	0	0	Academic	1		0		0		0		0		0		1996	1		2						2			1	3														0					85000	60000	2000	1900	200	50	1200					1000						20000			85000	82000	2000	Decreased substantially	My children's fiction sales have fallen, as I have been unable to work in schools.	Negative impact	I have written more academic texts, but no fiction.	0	Never		Moderately confident	1	No	1	1	1	One publisher tried to charge me for an index - I made it clear that they should pay and the contract was changed.	0	1	0	0	0	0	0	1	0				0			0			1	No change	Percentage of retail/publisher's price	0-19%	0-19%	0-19%	Percentage of retail/publisher's price	They have stayed the same	No		0					Not changed	Male	65-74	White	2	PhD	1	E	YO43				1			
2022	0	0	Academic	1		0		0		0		0		0		2017	1											1															0					104000	47000	50				50											47000			102000	45000	75	Stayed the same	Covid 19 largely did not impact on my impact.	Negative impact	I was give a significantly reduced time allowance for research and writing at work in 2020. Additionally I was unable to access a number of materials due to reduced library staffing and reduced interlibrary loan services. A lot of my work was delayed.	0	Never		No confidence	1	Don't know	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Percentage of retail/publisher's price	0-19%			Other		Don't know		0			None. I have very limited experience with only one academic book contract and one edited volume contract for an academic book.			Female	35-44	White	2	PhD	1	E	SK13				1			
2022	1	0	Journalist	1	2016	0		0		1	1969	0		0		1970	3	1	2		4						1							1									1					38000	23654	6270	6.22			50							5968						305	41409	25000	5212	Increased moderately	Here in Ireland, compensation payment by government covered loss of my wife's income from her yoga studio, which was closed.  Very small savings on travel, as I work from home and my wife locally.	No impact		0	Never		Moderately confident	0	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			1										0					Not changed	Male	65-74	White	4	Masters	1	Other		1			1			
2022	0	0	Academic	1	2009	0		0		0		0		0		1998	1						2	Academic journals				1															0					150000	150000	1000	1000														150000			150000	150000	1000	Stayed the same	I am fortunate enough to be in full time employment at a university so did not lose any income	Positive impact	Less time spent travelling (for obvious reasons)	0	Never		Moderately confident	1	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Other				Other	They have stayed the same	No		0			None	n/a	Not changed	Male	55-64	White	1	PhD	1	Other		1	Thank you for collecting the information!		1			
2022	0	0	Academic	1	2012	0		0		0		0		1	1992	2007	2		1									1	2														0					90000	50000					1300											49000			89000	48000		Stayed the same	Not commuting as much so I have made savings on travel from Stoke to Manchester.	No impact		0	Never		Very confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				1		Decreased	0			0		Percentage of retail/publisher's price	0-19%	0-19%	0-19%	Percentage of retail/publisher's price	They have stayed the same	No		0					Not changed	Male	55-64	White	3	PhD	1	E	ST5				1			
2022	1	1	13	1	2020	0		0		0		0		0		2017	1	4	2	5	6	3	7		3	6	1	7	2	4	9	5	8										0					70000	12500	0	0	0	0	130	0	0	0	0	0	0	120	0	0	0	0	0	0	100000	8000	0	Decreased moderately	Loss of some household earnings	Positive impact	Increased paid ghost writing work for memoir clients, completed remotely	0	Never		Less confident	0	Don't know	0	1	1	With regard to payment terms	1	0	0	0	0	0	0	0	1	Electronic publication	I used savings from other, paid, employment to self fund publication of a novel that was developed with assistance from an arts council bursary.	1	1		Stayed the same	0			0		Percentage of retail/publisher's price		60-79%	60-79%	Percentage of retail/publisher's price		Yes	90-100%	0					Improved	Female	55-64	White	3	Masters	1	E	CM23				1			
2022	1	1	Academic	1		0		0		0		0		0		1989	3					2	1	Reports					1														0					80000	45000	45000		42000		3000								45000						50000	25000	25000	Decreased moderately	I lost all my speaking events in 2020 and 2021. Few are being offered in 2022 - the online option has taken over many of the technical conferences and sessions I used to get paid to attend. Not as easy to charge as much when it is online.	Positive impact	I have managed to keep work coming in by converting my research work to an online format - interviews via Zoom rather than face-to-face. It has saved me quite a bit of money in travel and time once people had got used to the format.	0	Never		Moderately confident	0	No	1	0	0		0	0	0	0	0	0	0	0	1	Electronic publication	It was really good and relatively easy. I used Amazon’s print on demand service and it worked really well. I needed the help of a local designer to lay up the document but a bottle of gin did the job!	0	0			0			0		Percentage of net receipts	0-19%	0-19%	0-19%	Percentage of net receipts	They have gone down	No		0			None	No	Not changed	Male	55-64	White	2	Degree	1	E	LE14		None		1			
2022	0	0	Editor	0		0		0		0		0		0		1996	1					2			1																		0					17000	17000	367	200	10	62	95														16500	16500	388	Stayed the same		No impact		0	Never		Moderately confident	0	No	0	0	0		0	0	0	0	0	0	0	0	0				1	90-100%	Stayed the same	1	1	1	0		Percentage of net receipts	0-19%	0-19%	40-59%	Percentage of net receipts	They have stayed the same	No		0			Many anthologies and websites now want to grab 'all rights worldwide'.		Weakened	Female	75-84	White	1	Degree	1	E	HU18		Opportunities for paid work are vanishing.		1			
2022	0	0	No longer writing (retired)	1		0		0		0		0		0		2010	1															1											0					57000	51000	1500				1500														68500	64000	1750	Decreased moderately		No impact		0	Never		Moderately confident	0	Don't know	0	0	0		0	0	0	0	0	0	0	0	0				0			0			1	No change	Percentage of net receipts					They have stayed the same	No		0					Not changed	Male	65-74	White	2	Degree	1	E	NE38				1			
2022	1	0	Academic	1	1996	0		0		0		0		0			1		2			3						1															0					60000	60000		0	0		100														60000			Decreased substantially	Loss of opportunities	Negative impact	loss of opportunities	0	Never		No confidence	1	Don't know	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Percentage of net receipts		0-19%	0-19%	Percentage of net receipts	They have gone down	No		0			none		Not changed	Male	55-64	White	2	PhD	1	E	W8				1			
2022	0	0	Author	0		0		0		0		0		1	2009	1998	2	3	4			1							1														0					40000	13000					200																	Decreased moderately		No impact		0	Never		Less confident	1	No	0	0	0		0	0	0	0	0	0	0	0	0				1	0%	Stayed the same	0			1	No change						They have stayed the same	No		0					Not changed	Female	55-64	White	2	Degree	1	E	CH48				1			
2022	0	0	Teacher	1		0		0		0		0		0		1990	1					2						1				2											0					32000	30000	800	300		100	500														32000	30000	500	Decreased moderately		No impact		0	Never		Less confident	1	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			1	Slightly decreased	Percentage of net receipts	40-59%	40-59%				No		0			None.		Not changed	Male	65-74	White	2	Masters	1	E	TN6			3	1			
2022	0	0	Academic	1		0		0		0		0		1	1985																												0					70000	50000	0	0	0	0	700														70000	50000		Stayed the same		No impact		0	Never		Moderately confident	1	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Other	0-19%			Other				0			None		Not changed	Female	55-64	White	2	Masters	1	E	SP5		As a nurse I do not ever receive payment for my work -papers or book chapters which are published		1			
2022	0	0	Academic	1		0		0		0		0		0		2014	1		2									1	2														0																												Decreased moderately		Negative impact		0	Never		Moderately confident	1	Don't know	1		0		0	0	0	0	0	0	0	0	0				0			0			0		Percentage of net receipts	0-19%	0-19%				Don't know		0					Not changed	Other/prefer not to say	45-54	White	3	PhD	1	Other		1			1			
2022	1	0	Poet	1	2019	0		0		0		0		0		2019	1																										0																												Decreased substantially	My earnings to supplement my writing was through hospitality.  Hard hit during the pandemic.  Less opportunity for live gigs and readings.   I spent time writing a book, which has been published.  I'm now having an increase in bookings to read and run workshops and retreats since my book was published.	Positive impact	I have needed to cate for family during this time, and spent more time writing my book in-between.   Writing has been a salvation and a comfort during yhe pandemic.   I have greatly missed face to face contact with other writers and hearing live spoken word and readings. 	1	Never		Less confident	1	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Percentage of retail/publisher's price		0-19%				Don't know		0			Contract with a publisher to have poetry collection published.	No Publisher went through contract with me.	Improved	Female	55-64	White	4	Diploma	1	E	BS3		No		1			
2022	1	0	Journalist	1		0		0		0		0		0		2004		3	4		5	2	1	News agency		3	2		1													1	1	1		2		700	700	700	700										700							15205	15205	0	Decreased substantially	I lost my job in an NGO abroad and I had to start my journalist career from zero again in my own country.	Positive impact	It made my life much worse because I lost my job, my community and I had to give up one of my dreams when I was sent home from Indonesia due to the pandemic. I had to start looking for a job as a journalist again, but it was so hard, so eventually, I took a summer job as a receptionist. Being a freelance journalist is really hard nowadays because there are tons of journalists jobless and the private and independent media outlets are also struggling with lower payments. 	0	Never		No confidence	1	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Other						No		0			I started a new contract with a news agency to write more for them on a daily basis.		Weakened	Female	35-44	White	1	Masters	1	Other		1	No		1			
2022	1	1	Author	1	2016	0		0		0		0		0		2012	4			3	5	2	1	Doing talks and presentations based on the books, also competitions	1		2			3						1							1					95000	200	580	30	0	0	50	500	0	0	0	200	0	0	0	0	0	0	0	0	89000	400	5000	Decreased substantially	Any paid employment got replaced by needing to volunteer to support emergency services - I'm a voluntary Carer Ambassador supporting unpaid carers and we have seen support needs double in the last 2 years. I've also had to support my autistic son when all other education and support disappeared. My daughter's mental health has been severely damaged by the pandemic lockdowns, so I spent a lot of time supporting her, and also keeping my partner (our chief earner) sane in his employment. He was at least 12 hours working online every day, and I helped with breaks and meals. I also took on looking after my mother who has early-stage dementia. Basically, like many women, I gave up any prospect of employment or chance of living my own life.	Very negative impact	What professional life? Decimated. Now have PTSD.	0	Never		Less confident	1	Yes	1	0	0		0	0	0	0	0	0	0	0	0				1	0%	Decreased	1	0	0	0		Percentage of net receipts	0-19%	0-19%	0-19%	Percentage of net receipts	They have gone down	Yes	0%	0			Increase in "do this for free for exposure" and "if you write this, we can help you crowdfund to make money" - huge increases in the latter online. Increase in "we'll train you to write for us" and "write for us unpaid because you love social media" - reminds me of indentured servants, grateful for the work! Lots of free internships giving people the golden opportunity to write for them.	worried about transfer to screen rights, but signed it anyway.	Weakened	Female	55-64	White	4	Masters	1	E	PL6		you need to do a follow-up questionnaire looking at employment opportunities in writing.		1			
2022	0	0	Author	1		0		0		0		0		0		2011	1														3	2		3		2		1					1				2	3900	3900		3500			1200											3900			3800	3800		Decreased substantially	Reduction of salary due to school lockdowns and distance learning	No impact	Decreased productivity, stress, lack of motivation	0	Yes, sometimes	Lawyer	Less confident	1	Don't know	0	0	0		0	0	0	0	0	0	0	0	0				1	40-59%	Stayed the same	0			0		Percentage of retail/publisher's price	0-19%	0-19%	0-19%	Percentage of retail/publisher's price	They have stayed the same	No		0			None	None	Not changed	Female	45-54	White	4	Degree	1	Other		1	No		1			
2022	0	0	Author	1		1		0		0		0		1	2012 ALCS and 2018 SoA	2010	1										1	2		3													0					35000	13700	618	356			370													6300				Decreased moderately	loss of earnings through furlough, loss of business due to Brexit plus Covid - people in UK not buying consultancy.  Book income about the same.	Negative impact	decreased productivity due to inability to meet with colleagues.  Zoom meetings are not as productive as face to face for research gathering	0	Never		Less confident	1	No	1	0	0		0	0	0	0	0	0	0	0	1	Electronic publication		1	0			1	0		1	Substantially increased	Percentage of net receipts		0-19%	0-19%	Percentage of net receipts	They have stayed the same	No		0					Weakened	Female	55-64	White	2	Degree	1	E	GL5				1			
2022	0	0	Academic	0		0		0		0		0		1	British Association for South Asian Studies	1985	1					2						1				2											0						33	50	50		2	80																	Stayed the same		No impact		0	Never		Moderately confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				0			1	0	0	1	Slightly decreased	Percentage of net receipts	0-19%	0-19%	0-19%	Percentage of net receipts	They have stayed the same	No		0					Not changed	Male	75-84	White	2	PhD	1	E	OX5				1			
2022	0	0	Academic	1		0		0		0		0		1		1997	2		1													1											0					16794	5713	340	13			327											5386			19125	8125	146	Decreased moderately	saved on travel and work agreed I could continue to teach online, so good. My health is poor and I am likely to leave after periods off work in last four years. My partner took early retirement during the pandemic (the employer was terrible and initially refused home-working despite being a telecommunications organisation!).	No impact	basically my chronic health issues are my biggest issue and the pandemic helped relieve those a little by allowing me to avoid trains with the wheelchair - which was massively stressful and pain inducing. I felt others understood my home-bound life a little. I had a wee bit more energy and could engage with my writing again.	0	Never		Less confident	0	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			1	No change	Percentage of retail/publisher's price						No		0			Unsure. Initial advance and contract was with The Women's Press and they went out of business before my non-fiction book was published.  Currently I'm completing a children's non-fiction book (though I've ticked the 'educational' box above as there is loads of super-accurate science in it - but the purpose is to be fun) with materials scientists from the University of Leeds. I received  a flat fee and the books will be given out for free in areas of the city that are poorest, possibly via libraries or schools or foodbanks. because of that I'm not worried about lack of royalties. It is 'collaborative' and will be illustrated, but none of the others are writers. I did sign a contract but more as a project participant/ freelance worker than one like the Women's Press publisher's one.		Not changed	Female	45-54	White	2	PhD	1	E	WA5		It was a bit complicated! Like doing a tax retunr. I nearly stopped but I'm autistic and like to complete things I've started, so you were lucky there. You might have asked if income matches expenditure. Not quite the happiness index but the sense of security we all need. Our combined income looks low but we are house -rich. We have paid off mortgages on two properties and live in one and rent out the other. This is why my partner was safe to early retire and why I am looking at leaving employment soon through ill health.  (I also get PIP  high mobility and low care benefit which is around 300 a month, but I did not include this in our household income as it is NOT subject to tax. But obvs I can use it to pay the bills).		1			
2022	1	1	Journalist	1	2016	1	2016	0		1	2009?	0		1	2020	1998	5	3	1			2	4	Translation, French to English		1	2																0					90000	40000	23900				46.26														99520	49520	35120	Decreased moderately	Fewer articles commissioned, freelance payments have stagnated (even more than they already did). That said, I got some work from foreign publications due to being in a country their own reporters couldn't get to, due to Covid border closures. 	Positive impact	This question is hard to answer because in fact it has done both. It opened up opportunities with foreign publications, so that is a positive. But it caused great stress and has made travel for work very complicated. And it was impossible to concentrate on pulling together a proposal for my next book. 	0	Never		No confidence	0	Don't know	1	0	0		0	0	0	0	0	0	0	0	0				0			0			1		Percentage of net receipts						No		0			None, as I have only had one contract and that was several years ago.		Not changed	Female	45-54	White	3	Degree	1	E	E9				1			
2022	0	0	Academic	1	2014	0		0		0		0		0			2		1									1	2														0					160000	65000	800				800											65000			160000	60000	1200	Increased moderately	Slightly better off as covid gave me time to apply for promotion.	Negative impact	Increased sickness and other absences from colleagues - impacted workload as I picked up additional work to support them.																																																											
																																																																																																																																					
Increased anxiety and stress - as an academic dealing with very anxious students and providing reassurance took a lot of time and impacted productivity.	0	Never		No confidence	1	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Other						No		0					Not changed	Female	55-64	White	4	PhD	1	S	EH14				1																																																																													
2022	1	1	Journalist	1		0		0		0		0		1		2006	4	2	3		5	1				1	2															1	1	1				50000	50000	18000	0	0	0	69	0	0	0	0	0	0	32000							57000	57000	25000	Decreased moderately	I lost my job, have only found a part time replacement, so have to work much harder to earn less. It looks like I'm earning a good salary but my job entails high expenses (not refunded) of around 25,000 a year, so as I live alone I have to be careful. I was travelling most weeks for work before the pandemic, now I have had to pivot my specialism to earn without so much travel.	Negative impact	Vastly increased anxiety and stress leading to very decreased productivity. I haven't found another stable job, I am freelancing on zero hours contracts.	1	Never		Less confident	0	No	1	1	1	I got paid in euros instead of pounds	0	0	0	0	0	0	0	1	0				0			1	0	0	1	Substantially decreased	Percentage of net receipts	0-19%	0-19%	0-19%	Percentage of net receipts	They have gone down	Yes	10-39%	0			Lower rates	Signing over all rights. Having to have liability insurance.	Weakened	Female	35-44	White	1	Degree	1	E	PL30				1			
2022	0	0	Academic	1	2008	1	2008	0		0		0		0		2006	3		1			4	2	Consultancy materials and research reports																			0					52000	52000	600				600					1000						52000			50000	50000	500	Decreased moderately	bigger break between changing jobs for various reasons including Covid infection and sickness	Negative impact	(moderately) decreased productivity largely due to anxiety and sickness	0	Never		Less confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Percentage of retail/publisher's price	0-19%	0-19%	0-19%	Percentage of retail/publisher's price	They have stayed the same	No		0			none really as my writing is academic and by and large published in peer-reviewed academic journals	not applicable	Not changed	Male	45-54	White	1	PhD	1	Other		1	none, but it would be interesting to know the insights you derive from the surveys completed		1			
2022	1	1	13	1		1		1		0		1		1	Playwrights' Studio Scotland	2000				2		1	3	Copy					1														0																												Decreased moderately			Mix of positive /negative Negative impact - stress and decrease in earnings Positive impact - able to access online training, no need for travel	0	Yes, as a matter of course	Professional body/union	Moderately confident	0	Yes	1	1	1	Terms in model contract were amended, sought advice. 	0	0	0	0	0	0	0	1	1	Other	Steep learning curve for useful skills, need to put the time in.  	1	0			0			1	No change	Percentage of net receipts		60-79%	60-79%	Other	They have stayed the same	No		1	Attribution	Had to assert authorship rights for script. Author name not consistently in promotion.	Producer asking to change previously agreed contractual rights. Producer changing terms of model contract.	Questioned clauses and got them changed.	Not changed	Other/prefer not to say		White	2	Masters	1	S			Some questions don't apply but there isn't an n/a option.		1			
2022	1	0	Author	1	2018	1	2018	0		0		0		0		2018	1						2	teaching			4	2		1		3											0					25000	10000	2000	50			50	2000			1000										25000	2000	2000	Decreased substantially	no school/community visits and not writers residencies as there has been no respite care for my mother (I amthe primary carer)	Very negative impact	productivity has dropped off a cliff. too much stress, no breaks, no free time  at  all	0	Never		Less confident	0	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Percentage of net receipts	0-19%	0-19%	0-19%	Percentage of retail/publisher's price	They have stayed the same	No		0			none	no	Weakened	Female	55-64	White	2	Masters	1	E	SO15		no		1			
2022	0	0	No longer writing (retired)	1		0		0		0		0		0		1987	1	3	2							2	1																0					45000	30000	0		1000	1000	1000														45000	30000	0	Stayed the same		No impact		0	Never		Less confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			1	No change	Percentage of retail/publisher's price	40-59%	40-59%	40-59%	Percentage of retail/publisher's price	They have stayed the same	No		0					Not changed	Male	65-74	White	2	Degree	1	E	M21				0			
2022	0	0	13	1		0		0		0		0		1		1983	1						2	I enter and win quite a few writing competitions. Much of my work is now done for charity.						2		1											0					14400	14400	100	100			40	1750													14400	14400	100	Stayed the same	I retired from teaching in November 2019, and have been living on my pension ever since, so Covid has not affected my income in any way, except that the lockdowns and retirement have given me more time to  enter competitions, to write, act and give talks voluntarily or for charities. 	Positive impact	See answer above. Provided much more time. I found the lockdown increased my creativity markedly. It also provided inspiration for poetry which led to winning prizes.	0	Never		Less confident	0	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Other	0-19%	0-19%		Other	They have stayed the same	No		0			I have no contracts at present. I write for pleasure and mainly for competitions or to give talks.	No	Not changed	Female	65-74	White	1	Degree	1	E	CB3		Just found any questions about money very difficult to answer, as my financial adviser deals with all that, and writing is not and has never been my primary income source.		1			
2022	0	0	Academic	1		0		0		0		0		0		1992	1		2									1															0					130000	97000	116	17			99											64000		33000	120000	97000	200	Decreased substantially	redundancy																																																													
ill health	Very negative impact	lack of social contact & travel																																																																																																																																			
increased anxiety and stress	0	Never		Moderately confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			1	Substantially decreased	Percentage of net receipts	0-19%	0-19%	0-19%	Percentage of net receipts	They have gone down	Don't know		0			none	no	Weakened	Male	65-74	White	2	PhD	1	E	CT2		no		1																																																																													
2022	0	0	13	1	2018	0		0		0		0		0			1															1											0					90000	30500	64				64														90000	28800		Stayed the same		No impact		0	Never		Less confident	0	No		0	0		0	0	0	0	0	0	0	0	0				0			0			0								Don't know		0						Male	45-54	White	3	Degree	1	E	E17				1			
2022	0	0	No longer writing (retired)	1		0		0		0		0		0		2008	1											2				1											0					25000						500																	Stayed the same		No impact		0	Never		Less confident	0	No		0	0		0	0	0	0	0	0	0	0	0				0			0			1	No change	Percentage of retail/publisher's price	0-19%	0-19%				No		0						Male	75-84	White		Degree	1	E					0			
2022	1	0	Academic	1	2016	1	2003	0		0		0		1	2011	2005	2					3	1	Consultancy, evaluation reports and data analysis 			2	3	1														0					32000	20000	12000	18		50	160								20			0			30000	18000	12000	Decreased moderately	Not a dramatic impact but COVID has made earnings less predictable. Some none writing income streams took a hit, so I to find alternative sources. Overall, it's been more a time of stressful instability than outright hardship. 	Negative impact	The impact has been more to do with putting plans on hold. The extra time needed to find alternative income sources took away from writing plans, such as book proposals. 	0	Yes, as a matter of course	Professional body/union	Moderately confident	1	No	1		0		0	0	0	0	0	0	0	0	0				0			1	0	0	1	Slightly decreased	Percentage of net receipts	0-19%	0-19%	20-39%	Percentage of net receipts	They have gone up	No		0					Not changed	Non-binary	55-64	White	2	PhD	1	E	B67				1			
2022	1	0	Author	1	2018	0		0		0		0		0		2009	2		1			3				2	1																0					9000	9000	500				54														9000	9000	300	Increased moderately	As I was furlough most of 2020 it gave me time to write more there increasing my writing income.	Very positive impact	I enjoyed being at home while I was furlough from my job which give me more time to follow my passion for writing	0	Never		Less confident	0	Don't know	0	0	0		0	0	0	0	0	0	0	0	1	Electronic publication	I self published on amazon so no outlay costs	1	0			0			0		Percentage of retail/publisher's price		20-39%	60-79%	Percentage of retail/publisher's price	They have stayed the same	No		0			None	No	Improved	Female	55-64	White	1	Secondary school	1	E	CB6		No		1			
2022	1	1	Scriptwriter	1	1999	0		1	1999	0		0		0		1997					1																				1		1	1		2		38000	260	0				1440		21570												65000	23950		Decreased substantially	The Pandemic coincided with personal health issues, which meant I was unable to earn anything for over 2 years, but my opportunity to do so would have been limited in any case by a decrease in work available.	Negative impact	A fair bit of anxiety and stress personally and within my family. Decreased productivity too, for sure.	0	Never		Less confident	0	Don't know	0	0	0		0	0	0	0	0	0	0	0	0				1	0%	Stayed the same	0			0		Other				Other	They have stayed the same	No		0			None	Not relevant	Not changed	Male	55-64	White	3	Masters	1	E	B60		No		1			
2022	0	0	Author	1		0		0		0		0		0		2009																											0																												Stayed the same	No effect	No impact	No effect	0	Never		No confidence	0	Don't know	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Other	0-19%	0-19%		Other	They have stayed the same	Don't know		0			None		Not changed	Male	75-84	White	2	PhD	1	S	EH10		None		0			
2022	0	0	No longer writing (retired)	1		0		0		0		0		0		1983												1	2														0					46000	2500	50				50														46000	2500	50	Decreased moderately		No impact		0	Never		Moderately confident	0	Don't know	1	0	0		0	0	0	0	0	0	0	0	0				1		Decreased	0			0		Percentage of retail/publisher's price	0-19%	0-19%				Yes		0					Not changed	Male	65-74	White	2	Degree	1	E	WA15				1			
2022	0	0	No longer writing (retired)	1	2018	0		0		0		0		0		1989	1					2						1	2														0					50	28	61	4			57														46	24	39	Decreased moderately	Books, on Doing Business with China and Doing Business with Japan sold hardly any. No one was travelling.	No impact	Now retired, no longer writing.	0	Never		Less confident	0	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Percentage of retail/publisher's price				Percentage of net receipts		No		0			None	No	Not changed	Male	75-84	White	2	PhD	1	E	NW3				0			
2022	0	0	Author	1		0		0		0		0		0		2015			1						1																		0					24000	24000	60				60														22000		0	Increased moderately	N/A	Very negative impact	N/A	0	Never		Moderately confident	0	No	0	0	0		0	0	0	0	0	0	0	0	0				0			0			0		Other				Other		No		0			N/A	N/A	Weakened	Female	45-54	White	1	Masters	1	E	S7				1			
2022	0	0	Academic	1		0		0		0		0		0														1															0																																										0	0	0	0	0	0	0	0																																									
2022	0	0	Editor	1		0		0		0		0		1	1983	2007	2	3	1										1														0					36141	29931	1647	5	1	100	542								1.647						38567	29596	1878	Decreased moderately	Greater reluctance to purchase academic work	No impact		0	Never		Less confident	0	No	1	0	0		0	0	0	0	0	0	0	0	1	Electronic publication	Marketing is the greatest problem.  Other costs are manageable.  I have tried selling to bookshops -- disastrous!	1	0			1	0	0	0		Percentage of retail/publisher's price	0-19%	0-19%				No		0					Not changed	Male	75-84	White	2	PhD	1	E	TN10		No		0			
2022	1	0	Author	1		1		0		1		0		1		1987	1	2					3	Teaching material for creative writing courses	3		1	2															0					50000	50000	40000	2000	35000	120	70		1000	7000	3000	300						11000			52000	52000	35000	Stayed the same	In early 2020 I lost £10000.00 of planned income as writing courses and public talks were cancelled, but things improved financially in May 2020 when I was offered a book commission for £8000 and was awarded an emergency grant for the SoA.  As the pandemic went on, I was offered a number of on-line speaking gigs, and also took on private on-line teaching, and a second book commission.  I also was able to increase the amount of book reviewing I do which helped keep my overall income roughly stable. 	Negative impact	The pandemic messed with the delicate eco-system of my writing life. It significantly increased the stress, anxiety and isolation of being a freelance writer and dramatically decreased the enjoyable (and necessary) perks such as literary festivals events, public speaking engagements, IRL teaching, and general opportunities for meeting like-minded people. 	0	Yes, sometimes	Other	Moderately confident	0	Don't know	0	1	1	I successfully negotiated text and cover approval,  and the retention of adaptation and audio rights, and sub-licensing approval.  I was not successful in reserving translation rights.   I was also prevented from accepting an offer from Bloomsbury for a book that was already under contract with a charity that planned to self-publish, even though I was advised informally by a lawyer that the charity was in breach of the principle of estoppel.  I couldn't afford legal representation and didn't have an agent at the time with the result that the charity was able to block the offer from Bloomsbury (and is currently making a total hash of self-publishing!) 	0	1	1	0	0	0	1	1	0				0			1	0		1	Substantially decreased	Percentage of retail/publisher's price	0-19%	0-19%	0-19%	Other	They have stayed the same	No		0			It has become harder to negotiate terms.	Reversion of rights is weighted heavily against the author, made worse by POD.  Failures on the part of the publisher to fulfil their obligations also seem to be hard to enforce. 	Weakened	Female	55-64	Other	1	Degree	1	E	OX4		I had a contract for a book suddenly cancelled in early 2018 for reasons which were never properly explained or justified.  I felt I had no say in this decision, which came at a very difficult time in my life personally and was a huge blow to my confidence and finances.  What was particularly odd was that the publisher had just  paid me 25% of the advance a few weeks before they cancelled the whole contract.  I believe the reasons for cancelling were primarily ideological but have no way of proving this.  My then agent did not fight the cancellation but did negotiate that I should pay back the 25% received when /if I ever sold the book for more than £20k. 		1			
2022	0	0	Editor	1		0		0		0		0		0		1980	1											1															0					50000	49500	500	200			300														80000	50000	15000	Increased moderately		No impact		0	Never		Moderately confident	1	No	1	0	0		0	0	0	0	0	0	0	0	0				0			0			1	Slightly increased	Other				Other	They have stayed the same	No		0			none	no	Not changed	Female	75-84	White	1	PhD	1	S	G41		no		1			
